,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
State/Higher Education Institution,Retention rate (normal calculation)(j),,,,,,,,,,,,,,,Retention rate (adjusted calculation)(k),,,,,,,,,
State Total,81.59,81.35,81.93,82.85,82.94,83.42,83.60,83.67,84.17,82.86,83.16,81.96,79.88,80.44,,86.40,87.01,87.46,88.37,89.39,88.73,88.99,87.70,85.50,85.99
Queensland,,,,,,,,,,,,,,,,,,,,,,,,,
Bond University,(g),(g),(g),90.10,85.88,88.34,87.65,85.32,85.78,86.60,84.94,83.08,80.47,82.94,,88.74,89.97,89.40,88.39,90.29,91.41,89.55,89.59,88.71,88.64
Central Queensland University,74.44,74.09,72.54,74.92,65.83,65.33,66.92,67.52,65.54,68.79,67.68,67.87,68.54,68.95,,68.76,69.01,70.86,72.01,72.50,73.45,72.46,74.27,74.69,75.67
Griffith University,79.78,75.72,75.54,75.36,76.45,76.76,75.69,77.80,76.66,74.44,76.38,76.31,75.31,76.06,,81.70,81.87,81.22,84.47,84.26,83.72,85.26,84.47,83.76,83.66
James Cook University,74.28,72.63,72.70,73.30,74.08,71.87,74.71,75.23,77.54,75.70,75.07,73.18,76.79,75.23,,77.46,76.50,78.39,80.56,82.23,80.50,80.63,79.08,81.61,80.61
Queensland University of Technology,81.19,80.00,82.20,80.62,82.09,80.98,80.84,82.24,83.68,81.97,83.19,82.91,81.72,82.23,,85.56,84.82,85.27,87.33,88.85,88.03,88.74,88.99,88.20,87.76
The University of Queensland,83.24,82.88,82.81,84.48,83.24,82.31,80.71,84.66,83.96,83.76,84.35,84.34,81.89,81.31,,88.75,87.65,85.56,90.85,90.88,90.39,91.63,91.30,90.41,89.98
University of Southern Queensland,73.14,72.08,71.82,69.56,70.61,72.19,71.15,72.88,72.99,70.43,71.14,70.57,70.24,73.00,,74.53,75.39,75.31,77.42,77.81,75.45,76.62,75.49,74.87,77.11
University of the Sunshine Coast,66.86,60.69,59.78,62.45,64.13,64.17,67.56,71.67,72.79,72.54,71.24,70.79,72.03,73.49,,72.21,72.12,73.28,79.29,80.30,79.71,78.78,78.44,77.76,79.75
State Total,78.72,77.02,77.10,77.19,77.05,76.92,76.78,78.79,78.69,77.50,78.17,77.74,77.04,77.38,,81.48,81.48,81.43,84.46,84.91,84.12,84.82,84.46,84.04,83.99
Western Australia,,,,,,,,,,,,,,,,,,,,,,,,,
Curtin University of Technology,82.69,80.09,81.01,83.50,82.16,83.06,80.15,82.86,83.24,81.15,81.48,79.63,79.97,79.97,,85.18,85.78,83.28,87.08,87.26,86.04,86.65,84.93,85.29,85.56
Edith Cowan University,75.70,76.19,75.28,76.07,76.24,75.89,74.55,76.51,76.61,76.08,75.82,75.89,72.90,73.85,,79.66,79.36,78.51,81.21,81.18,81.49,80.98,80.98,77.71,78.56
Murdoch University,78.47,76.96,78.48,77.19,77.05,74.12,73.71,76.15,73.32,74.90,75.18,73.63,71.12,75.69,,81.22,79.12,79.08,82.34,80.12,81.47,82.37,80.45,78.02,80.78
The University of Notre Dame Australia,71.76,77.95,79.86,80.52,80.37,82.28,85.23,85.75,84.65,82.86,82.83,83.59,83.31,85.02,,83.47,86.17,89.00,90.85,90.68,89.29,88.49,89.68,89.42,90.38
The University of Western Australia,85.12,87.34,87.02,87.48,86.93,87.33,86.94,86.88,86.28,86.88,87.32,86.90,86.01,85.07,,90.74,90.92,91.11,92.37,91.88,92.68,92.65,93.30,93.05,92.18
State Total,80.14,79.55,79.81,80.77,80.32,80.52,79.55,81.35,80.86,80.21,80.49,79.72,78.55,79.37,,83.80,84.08,83.50,86.33,85.99,85.82,86.04,85.47,84.37,84.93
South Australia,,,,,,,,,,,,,,,,,,,,,,,,,
Flinders University,77.73,77.35,78.22,79.64,78.21,80.84,79.11,80.30,79.72,79.30,80.07,79.25,77.17,77.18,,82.77,84.30,82.10,85.87,84.25,84.64,85.09,84.15,82.47,82.53
The University of Adelaide,81.34,81.33,81.29,83.18,82.12,84.06,83.44,84.55,84.08,83.13,82.66,81.76,82.69,82.20,,87.83,87.77,88.29,90.24,90.71,89.32,88.88,87.32,89.21,88.11
University of South Australia,78.45,78.38,80.40,78.94,79.53,79.45,79.06,80.62,81.88,80.38,77.97,78.89,79.17,79.11,,82.04,81.76,81.47,84.31,85.66,84.93,83.23,84.14,83.38,83.67
State Total,79.07,78.86,80.04,80.23,79.83,80.97,80.28,81.65,81.96,80.91,80.05,79.89,79.62,79.46,,83.69,83.95,83.52,86.42,86.80,86.17,85.54,85.14,84.85,84.67
